CustomerId,PurchaseDate,Product,Price
2,2022-09-5,Phone,1227
4,2022-09-5,Phone,410$
50,2022-09-5,TV,1689
73,2022-09-5,TV,669$
92,2022-09-5,Microwave oven,419
121,2022-09-5,Microwave oven,110$
121,2022-09-5,TV,1556$
125,2022-09-5,coffee machine,2481
132,2022-09-5,Vacuum cleaner,612$
158,2022-09-5,TV,1904
184,2022-09-5,Microwave oven,455
253,2022-09-5,Laptop,3490
280,2022-09-5,Phone,562
288,2022-09-5,Laptop,3014
299,2022-09-5,Phone,591
340,2022-09-5,TV,683$
351,2022-09-5,TV,1961
368,2022-09-5,Vacuum cleaner,88
384,2022-09-5,Vacuum cleaner,567
389,2022-09-5,Vacuum cleaner,623
400,2022-09-5,Vacuum cleaner,96
403,2022-09-5,Laptop,2170
405,2022-09-5,Vacuum cleaner,339
413,2022-09-5,Phone,1485
417,2022-09-5,Laptop,1853$
460,2022-09-5,Phone,1000
468,2022-09-5,Vacuum cleaner,333
474,2022-09-5,TV,1288$
500,2022-09-5,Phone,494$
500,2022-09-5,TV,1431
507,2022-09-5,TV,836$
527,2022-09-5,Microwave oven,408
568,2022-09-5,TV,1412
586,2022-09-5,Phone,954$
609,2022-09-5,Microwave oven,367
621,2022-09-5,Phone,906
650,2022-09-5,Phone,566$
656,2022-09-5,Microwave oven,109
682,2022-09-5,Microwave oven,578
704,2022-09-5,coffee machine,4498$
706,2022-09-5,Vacuum cleaner,590$
740,2022-09-5,coffee machine,4653
758,2022-09-5,coffee machine,3949
758,2022-09-5,Microwave oven,357
783,2022-09-5,Vacuum cleaner,393
787,2022-09-5,coffee machine,2283
802,2022-09-5,Microwave oven,135
876,2022-09-5,Vacuum cleaner,247
893,2022-09-5,Phone,1077
895,2022-09-5,Vacuum cleaner,217
922,2022-09-5,Microwave oven,474$
953,2022-09-5,Phone,380
989,2022-09-5,Phone,513
993,2022-09-5,coffee machine,4399
1013,2022-09-5,Phone,938$
1020,2022-09-5,Phone,1271
1051,2022-09-5,Microwave oven,169
1067,2022-09-5,coffee machine,243
1097,2022-09-5,Microwave oven,571
1122,2022-09-5,Vacuum cleaner,568
1144,2022-09-5,coffee machine,3812
1177,2022-09-5,coffee machine,1269
1213,2022-09-5,Microwave oven,560
1227,2022-09-5,TV,2005
1277,2022-09-5,coffee machine,4656
1293,2022-09-5,coffee machine,2804
1322,2022-09-5,coffee machine,1798
1342,2022-09-5,Vacuum cleaner,167$
1352,2022-09-5,Vacuum cleaner,405
1363,2022-09-5,Phone,481$
1411,2022-09-5,Vacuum cleaner,211
1442,2022-09-5,Microwave oven,217
1447,2022-09-5,TV,1769$
1469,2022-09-5,TV,798
1504,2022-09-5,Phone,979$
1505,2022-09-5,TV,2441
1537,2022-09-5,Laptop,2344
1537,2022-09-5,Vacuum cleaner,687
1560,2022-09-5,Phone,412
1560,2022-09-5,coffee machine,2985
1566,2022-09-5,coffee machine,2688
1579,2022-09-5,TV,1329$
1581,2022-09-5,Vacuum cleaner,783
1639,2022-09-5,Microwave oven,395
1673,2022-09-5,Vacuum cleaner,192$
1728,2022-09-5,coffee machine,3955
1734,2022-09-5,TV,2386
1765,2022-09-5,Laptop,2645$
1817,2022-09-5,coffee machine,3563
1824,2022-09-5,Phone,944
1878,2022-09-5,Laptop,2064
1917,2022-09-5,Phone,544$
1919,2022-09-5,Vacuum cleaner,785$
1920,2022-09-5,TV,2164$
1948,2022-09-5,Laptop,543$
1956,2022-09-5,Phone,451
1978,2022-09-5,TV,828
1987,2022-09-5,Phone,547
2033,2022-09-5,Laptop,3255$
2045,2022-09-5,Phone,1093
2051,2022-09-5,Laptop,1019$
2073,2022-09-5,coffee machine,1773$
2085,2022-09-5,Phone,435
2090,2022-09-5,coffee machine,3874
2097,2022-09-5,coffee machine,681
2100,2022-09-5,Phone,957
2146,2022-09-5,Laptop,858$
2147,2022-09-5,Microwave oven,518
2161,2022-09-5,Laptop,2596$
2234,2022-09-5,Phone,1293
2237,2022-09-5,Microwave oven,211
2274,2022-09-5,Laptop,2431$
2288,2022-09-5,Vacuum cleaner,92
2290,2022-09-5,Vacuum cleaner,288
2295,2022-09-5,Vacuum cleaner,517$
2311,2022-09-5,TV,1267$
2315,2022-09-5,coffee machine,418$
2322,2022-09-5,Phone,1244
2341,2022-09-5,Microwave oven,354
2386,2022-09-5,Vacuum cleaner,466
2391,2022-09-5,Laptop,790
2398,2022-09-5,Phone,384
2434,2022-09-5,Microwave oven,566$
2436,2022-09-5,Laptop,1430
2455,2022-09-5,TV,1512
2489,2022-09-5,coffee machine,515
2499,2022-09-5,coffee machine,2226
2503,2022-09-5,Microwave oven,443
2510,2022-09-5,TV,1892
2546,2022-09-5,TV,720
2599,2022-09-5,TV,1226
2613,2022-09-5,Vacuum cleaner,172
2658,2022-09-5,TV,1374
2682,2022-09-5,Phone,1364
2682,2022-09-5,Laptop,1706
