city_id,city,country_id,last_update
1,A Corua (La Corua),87,2022-02-15 09:45:25.000000 +00:00
2,Abha,82,2022-02-15 09:45:25.000000 +00:00
3,Abu Dhabi,101,2022-02-15 09:45:25.000000 +00:00
4,Acua,60,2022-02-15 09:45:25.000000 +00:00
5,Adana,97,2022-02-15 09:45:25.000000 +00:00
6,Addis Abeba,31,2022-02-15 09:45:25.000000 +00:00
7,Aden,107,2022-02-15 09:45:25.000000 +00:00
8,Adoni,44,2022-02-15 09:45:25.000000 +00:00
9,Ahmadnagar,44,2022-02-15 09:45:25.000000 +00:00
10,Akishima,50,2022-02-15 09:45:25.000000 +00:00
11,Akron,103,2022-02-15 09:45:25.000000 +00:00
12,al-Ayn,101,2022-02-15 09:45:25.000000 +00:00
13,al-Hawiya,82,2022-02-15 09:45:25.000000 +00:00
14,al-Manama,11,2022-02-15 09:45:25.000000 +00:00
15,al-Qadarif,89,2022-02-15 09:45:25.000000 +00:00
16,al-Qatif,82,2022-02-15 09:45:25.000000 +00:00
17,Alessandria,49,2022-02-15 09:45:25.000000 +00:00
18,Allappuzha (Alleppey),44,2022-02-15 09:45:25.000000 +00:00
19,Allende,60,2022-02-15 09:45:25.000000 +00:00
20,Almirante Brown,6,2022-02-15 09:45:25.000000 +00:00
21,Alvorada,15,2022-02-15 09:45:25.000000 +00:00
22,Ambattur,44,2022-02-15 09:45:25.000000 +00:00
23,Amersfoort,67,2022-02-15 09:45:25.000000 +00:00
24,Amroha,44,2022-02-15 09:45:25.000000 +00:00
25,Angra dos Reis,15,2022-02-15 09:45:25.000000 +00:00
26,Anpolis,15,2022-02-15 09:45:25.000000 +00:00
27,Antofagasta,22,2022-02-15 09:45:25.000000 +00:00
28,Aparecida de Goinia,15,2022-02-15 09:45:25.000000 +00:00
29,Apeldoorn,67,2022-02-15 09:45:25.000000 +00:00
30,Araatuba,15,2022-02-15 09:45:25.000000 +00:00
31,Arak,46,2022-02-15 09:45:25.000000 +00:00
32,Arecibo,77,2022-02-15 09:45:25.000000 +00:00
33,Arlington,103,2022-02-15 09:45:25.000000 +00:00
34,Ashdod,48,2022-02-15 09:45:25.000000 +00:00
35,Ashgabat,98,2022-02-15 09:45:25.000000 +00:00
36,Ashqelon,48,2022-02-15 09:45:25.000000 +00:00
37,Asuncin,73,2022-02-15 09:45:25.000000 +00:00
