film_id,category_id,last_update
1,6,2022-02-15 10:07:09.000000 +00:00
2,11,2022-02-15 10:07:09.000000 +00:00
3,6,2022-02-15 10:07:09.000000 +00:00
4,11,2022-02-15 10:07:09.000000 +00:00
5,8,2022-02-15 10:07:09.000000 +00:00
6,9,2022-02-15 10:07:09.000000 +00:00
7,5,2022-02-15 10:07:09.000000 +00:00
8,11,2022-02-15 10:07:09.000000 +00:00
9,11,2022-02-15 10:07:09.000000 +00:00
10,15,2022-02-15 10:07:09.000000 +00:00
11,9,2022-02-15 10:07:09.000000 +00:00
12,12,2022-02-15 10:07:09.000000 +00:00
13,11,2022-02-15 10:07:09.000000 +00:00
14,4,2022-02-15 10:07:09.000000 +00:00
15,9,2022-02-15 10:07:09.000000 +00:00
16,9,2022-02-15 10:07:09.000000 +00:00
17,12,2022-02-15 10:07:09.000000 +00:00
18,2,2022-02-15 10:07:09.000000 +00:00
19,1,2022-02-15 10:07:09.000000 +00:00
20,12,2022-02-15 10:07:09.000000 +00:00
21,1,2022-02-15 10:07:09.000000 +00:00
22,13,2022-02-15 10:07:09.000000 +00:00
23,2,2022-02-15 10:07:09.000000 +00:00
24,11,2022-02-15 10:07:09.000000 +00:00
25,13,2022-02-15 10:07:09.000000 +00:00
26,14,2022-02-15 10:07:09.000000 +00:00
27,15,2022-02-15 10:07:09.000000 +00:00
28,5,2022-02-15 10:07:09.000000 +00:00
29,1,2022-02-15 10:07:09.000000 +00:00
30,11,2022-02-15 10:07:09.000000 +00:00
31,8,2022-02-15 10:07:09.000000 +00:00
32,13,2022-02-15 10:07:09.000000 +00:00
33,7,2022-02-15 10:07:09.000000 +00:00
34,11,2022-02-15 10:07:09.000000 +00:00
35,11,2022-02-15 10:07:09.000000 +00:00
36,2,2022-02-15 10:07:09.000000 +00:00
37,4,2022-02-15 10:07:09.000000 +00:00
38,1,2022-02-15 10:07:09.000000 +00:00
39,14,2022-02-15 10:07:09.000000 +00:00
40,6,2022-02-15 10:07:09.000000 +00:00
41,16,2022-02-15 10:07:09.000000 +00:00
42,15,2022-02-15 10:07:09.000000 +00:00
43,8,2022-02-15 10:07:09.000000 +00:00
44,14,2022-02-15 10:07:09.000000 +00:00
45,13,2022-02-15 10:07:09.000000 +00:00
46,10,2022-02-15 10:07:09.000000 +00:00
47,9,2022-02-15 10:07:09.000000 +00:00
48,3,2022-02-15 10:07:09.000000 +00:00
49,14,2022-02-15 10:07:09.000000 +00:00
50,8,2022-02-15 10:07:09.000000 +00:00
51,12,2022-02-15 10:07:09.000000 +00:00
52,9,2022-02-15 10:07:09.000000 +00:00
53,8,2022-02-15 10:07:09.000000 +00:00
54,12,2022-02-15 10:07:09.000000 +00:00
55,14,2022-02-15 10:07:09.000000 +00:00
56,1,2022-02-15 10:07:09.000000 +00:00
57,16,2022-02-15 10:07:09.000000 +00:00
58,6,2022-02-15 10:07:09.000000 +00:00
59,3,2022-02-15 10:07:09.000000 +00:00
60,4,2022-02-15 10:07:09.000000 +00:00
61,7,2022-02-15 10:07:09.000000 +00:00
62,6,2022-02-15 10:07:09.000000 +00:00
63,8,2022-02-15 10:07:09.000000 +00:00
64,7,2022-02-15 10:07:09.000000 +00:00
65,11,2022-02-15 10:07:09.000000 +00:00
66,3,2022-02-15 10:07:09.000000 +00:00
67,1,2022-02-15 10:07:09.000000 +00:00
68,3,2022-02-15 10:07:09.000000 +00:00
69,14,2022-02-15 10:07:09.000000 +00:00
70,2,2022-02-15 10:07:09.000000 +00:00
71,8,2022-02-15 10:07:09.000000 +00:00
72,6,2022-02-15 10:07:09.000000 +00:00
73,14,2022-02-15 10:07:09.000000 +00:00
74,12,2022-02-15 10:07:09.000000 +00:00
75,16,2022-02-15 10:07:09.000000 +00:00
76,12,2022-02-15 10:07:09.000000 +00:00
77,13,2022-02-15 10:07:09.000000 +00:00
78,2,2022-02-15 10:07:09.000000 +00:00
79,7,2022-02-15 10:07:09.000000 +00:00
80,8,2022-02-15 10:07:09.000000 +00:00
81,14,2022-02-15 10:07:09.000000 +00:00
82,8,2022-02-15 10:07:09.000000 +00:00
83,8,2022-02-15 10:07:09.000000 +00:00
84,16,2022-02-15 10:07:09.000000 +00:00
85,6,2022-02-15 10:07:09.000000 +00:00
86,12,2022-02-15 10:07:09.000000 +00:00
87,16,2022-02-15 10:07:09.000000 +00:00
88,16,2022-02-15 10:07:09.000000 +00:00
89,2,2022-02-15 10:07:09.000000 +00:00
