CustomerId,PurchaseDate,Product,Price
24,2022-09-28,Microwave oven,484
61,2022-09-28,Vacuum cleaner,579
72,2022-09-28,Microwave oven,582
111,2022-09-28,Microwave oven,433
137,2022-09-28,coffee machine,1502
137,2022-09-28,coffee machine,2064
149,2022-09-28,Laptop,1967
158,2022-09-28,coffee machine,4661$
170,2022-09-28,TV,1448
310,2022-09-28,Phone,350
318,2022-09-28,Microwave oven,551$
323,2022-09-28,Laptop,1361
345,2022-09-28,coffee machine,1700$
346,2022-09-28,TV,547
355,2022-09-28,Laptop,941$
363,2022-09-28,Microwave oven,260
391,2022-09-28,Vacuum cleaner,757
448,2022-09-28,Laptop,1360
451,2022-09-28,Phone,772
458,2022-09-28,Microwave oven,292
477,2022-09-28,Laptop,784
499,2022-09-28,coffee machine,2171$
519,2022-09-28,TV,1777
522,2022-09-28,Phone,1392
525,2022-09-28,coffee machine,4055
542,2022-09-28,Vacuum cleaner,533$
549,2022-09-28,TV,906
596,2022-09-28,Laptop,1170$
614,2022-09-28,Phone,603
632,2022-09-28,Laptop,2506
634,2022-09-28,Laptop,2189$
639,2022-09-28,Microwave oven,483
657,2022-09-28,Laptop,602
688,2022-09-28,Microwave oven,367
696,2022-09-28,Laptop,3092
722,2022-09-28,Vacuum cleaner,589
744,2022-09-28,Laptop,830
746,2022-09-28,coffee machine,4612$
754,2022-09-28,Microwave oven,578
770,2022-09-28,Laptop,2678
810,2022-09-28,Phone,1499
827,2022-09-28,Microwave oven,593
849,2022-09-28,Vacuum cleaner,350
907,2022-09-28,TV,1891
954,2022-09-28,Phone,202
994,2022-09-28,TV,1791
996,2022-09-28,Vacuum cleaner,134$
1000,2022-09-28,Phone,1396$
1064,2022-09-28,TV,594
1067,2022-09-28,TV,1395
1073,2022-09-28,coffee machine,1424
1074,2022-09-28,Laptop,3421$
1079,2022-09-28,coffee machine,1459
1107,2022-09-28,Microwave oven,168
1111,2022-09-28,Phone,375
1141,2022-09-28,Laptop,3445$
1169,2022-09-28,Laptop,1719
1191,2022-09-28,Phone,897
1204,2022-09-28,TV,1263$
1209,2022-09-28,TV,2018$
1220,2022-09-28,Microwave oven,212
1266,2022-09-28,Microwave oven,513$
1269,2022-09-28,Vacuum cleaner,183
1312,2022-09-28,Microwave oven,169
1338,2022-09-28,TV,1213
1354,2022-09-28,Laptop,1187$
1357,2022-09-28,Laptop,2002
1362,2022-09-28,Microwave oven,485
1413,2022-09-28,Laptop,1658$
1452,2022-09-28,Vacuum cleaner,245$
1465,2022-09-28,Microwave oven,371
1471,2022-09-28,Vacuum cleaner,99
1483,2022-09-28,Microwave oven,276$
1506,2022-09-28,Microwave oven,544
1530,2022-09-28,TV,1011
1566,2022-09-28,coffee machine,358
1595,2022-09-28,TV,1590
1601,2022-09-28,Phone,1233
1628,2022-09-28,Phone,920
1638,2022-09-28,Vacuum cleaner,139
1667,2022-09-28,Vacuum cleaner,793
1702,2022-09-28,Vacuum cleaner,499
1778,2022-09-28,TV,781
1789,2022-09-28,Vacuum cleaner,232
1860,2022-09-28,coffee machine,4592
1863,2022-09-28,Vacuum cleaner,226
1882,2022-09-28,TV,2061
1901,2022-09-28,Microwave oven,247
1904,2022-09-28,TV,1869
1910,2022-09-28,coffee machine,1910$
1917,2022-09-28,Microwave oven,264
1919,2022-09-28,TV,1301
1958,2022-09-28,Vacuum cleaner,275
2043,2022-09-28,Laptop,2334$
2070,2022-09-28,Microwave oven,365
2123,2022-09-28,Vacuum cleaner,145
2147,2022-09-28,Vacuum cleaner,203
2162,2022-09-28,Vacuum cleaner,609
2182,2022-09-28,TV,723
2200,2022-09-28,coffee machine,4140
2216,2022-09-28,Microwave oven,154
2236,2022-09-28,Vacuum cleaner,748
2308,2022-09-28,Phone,457
2311,2022-09-28,Vacuum cleaner,482
2325,2022-09-28,Laptop,3486$
2332,2022-09-28,TV,820
2336,2022-09-28,coffee machine,2693$
2346,2022-09-28,coffee machine,324
2352,2022-09-28,coffee machine,3550$
2356,2022-09-28,Microwave oven,216$
2361,2022-09-28,TV,1813
2380,2022-09-28,Phone,1407
2454,2022-09-28,Phone,1480
2490,2022-09-28,Laptop,2622
2500,2022-09-28,Vacuum cleaner,689
2505,2022-09-28,Phone,1406$
2514,2022-09-28,TV,1452
2517,2022-09-28,Phone,555
2533,2022-09-28,Laptop,3038
2535,2022-09-28,Laptop,3224
2545,2022-09-28,coffee machine,3741
2559,2022-09-28,TV,1805
2603,2022-09-28,Phone,1140
2654,2022-09-28,TV,680
2659,2022-09-28,Microwave oven,408
2676,2022-09-28,Microwave oven,307
2678,2022-09-28,Microwave oven,190
2786,2022-09-28,Microwave oven,600
2806,2022-09-28,Laptop,1802
2871,2022-09-28,Laptop,800
2873,2022-09-28,TV,1298
2906,2022-09-28,coffee machine,925$
2913,2022-09-28,Vacuum cleaner,584
2933,2022-09-28,Laptop,3485
2937,2022-09-28,Laptop,3422
2943,2022-09-28,TV,1394
2954,2022-09-28,TV,1983
2985,2022-09-28,Microwave oven,242
3030,2022-09-28,Laptop,2399
3037,2022-09-28,coffee machine,3629$
3041,2022-09-28,Vacuum cleaner,621
3077,2022-09-28,TV,2386
3082,2022-09-28,Vacuum cleaner,746$
3089,2022-09-28,Laptop,1787$
3111,2022-09-28,TV,1496
3114,2022-09-28,TV,1422
3117,2022-09-28,Laptop,512
3139,2022-09-28,Laptop,1845
3147,2022-09-28,Vacuum cleaner,774$
3151,2022-09-28,coffee machine,345$
3164,2022-09-28,Vacuum cleaner,174
3214,2022-09-28,Vacuum cleaner,754
3217,2022-09-28,coffee machine,1089
3261,2022-09-28,Phone,971
3285,2022-09-28,coffee machine,939
3316,2022-09-28,Laptop,1830
3323,2022-09-28,TV,882$
3365,2022-09-28,TV,821$
3381,2022-09-28,Phone,962$
3421,2022-09-28,Laptop,1233
3436,2022-09-28,Phone,1385
3451,2022-09-28,Laptop,1156$
3466,2022-09-28,coffee machine,2314
3472,2022-09-28,Laptop,2799
3478,2022-09-28,TV,2273
3484,2022-09-28,Laptop,1695$
3491,2022-09-28,coffee machine,2965
3496,2022-09-28,Vacuum cleaner,555
3560,2022-09-28,TV,1434$
3573,2022-09-28,Phone,384
3584,2022-09-28,coffee machine,606
3596,2022-09-28,coffee machine,1844
3641,2022-09-28,Microwave oven,143$
3655,2022-09-28,Phone,872$
3675,2022-09-28,TV,911
3691,2022-09-28,Laptop,2487
3694,2022-09-28,Phone,1232
3698,2022-09-28,coffee machine,3235
3748,2022-09-28,Laptop,3158$
3776,2022-09-28,Laptop,2835
3817,2022-09-28,coffee machine,1930
3820,2022-09-28,coffee machine,2149
3840,2022-09-28,coffee machine,519
3899,2022-09-28,coffee machine,3322
3932,2022-09-28,Laptop,1748
3977,2022-09-28,Laptop,3200
3998,2022-09-28,Microwave oven,459
4004,2022-09-28,Vacuum cleaner,196
4028,2022-09-28,Laptop,3101
4058,2022-09-28,TV,1781$
4063,2022-09-28,coffee machine,2070
4066,2022-09-28,coffee machine,3563
4079,2022-09-28,coffee machine,2945
4080,2022-09-28,Vacuum cleaner,482$
4108,2022-09-28,Phone,1402$
4119,2022-09-28,Microwave oven,388
4131,2022-09-28,TV,2300$
4135,2022-09-28,Microwave oven,131
4136,2022-09-28,Microwave oven,276
4150,2022-09-28,TV,1178
4168,2022-09-28,Vacuum cleaner,269
4237,2022-09-28,TV,943
4283,2022-09-28,Microwave oven,453
4300,2022-09-28,TV,1408
4324,2022-09-28,Vacuum cleaner,726
4335,2022-09-28,TV,2319
4392,2022-09-28,coffee machine,1137$
4412,2022-09-28,Microwave oven,303
4454,2022-09-28,Phone,1383$
4483,2022-09-28,TV,1288
4504,2022-09-28,Vacuum cleaner,99
4558,2022-09-28,Phone,353
4571,2022-09-28,coffee machine,4315
4617,2022-09-28,coffee machine,934
4622,2022-09-28,coffee machine,1415
4645,2022-09-28,TV,2364
4655,2022-09-28,Laptop,2593
4706,2022-09-28,TV,1388
4732,2022-09-28,coffee machine,1821
4734,2022-09-28,Vacuum cleaner,585
4742,2022-09-28,coffee machine,2960
4749,2022-09-28,Microwave oven,154
4766,2022-09-28,coffee machine,509
4768,2022-09-28,Phone,1050
4785,2022-09-28,Vacuum cleaner,555
4810,2022-09-28,Microwave oven,472$
4848,2022-09-28,TV,770
4860,2022-09-28,Phone,597
4892,2022-09-28,Laptop,2228
4901,2022-09-28,Laptop,2693$
4943,2022-09-28,Phone,972
4960,2022-09-28,Microwave oven,442
5051,2022-09-28,Vacuum cleaner,618
5071,2022-09-28,Vacuum cleaner,704
5080,2022-09-28,Laptop,1756$
5105,2022-09-28,coffee machine,2515
5116,2022-09-28,Vacuum cleaner,497
5139,2022-09-28,coffee machine,3349
5173,2022-09-28,coffee machine,2624
5197,2022-09-28,TV,2184$
5219,2022-09-28,coffee machine,671
5220,2022-09-28,TV,2384$
5252,2022-09-28,coffee machine,2350
